system,nodes,nproc,n,iters,warmup,scatter_s,bcast_s,compute_s,gather_s,total_s
crux,0,1,64000,5,1,0,0,3.785450358,0,3.785450358
crux,1,8,64000,5,1,19.865444001,2.194914076,0.885902175,1.995566621,20.354079675
crux,2,16,64000,5,1,12.379456076,2.602441860,0.465430193,1.021849034,12.623544694
crux,4,32,64000,5,1,8.274119320,2.747430739,0.257932991,0.523045630,8.395619349
crux,8,64,64000,5,1,5.927104685,1.405895905,0.116365511,0.208741969,5.987406162
crux,16,128,64000,5,1,4.786629000,0.708516054,0.058747546,0.099696064,4.817090240
